movieName	comments	label
명량	그냥 뭐 애국심으로 보는 재미인듯	1
명량	영상과 연출력은 대단하다	1
명량	와 이런 영화를 보고도 엄청 재밌다고 하다니 보는 내내 어처구니가 없었구먼 진짜 한국관객들 영화 수준 좀 높여야 되는거 아니냐 인간적으로	0
명량	아는 만큼 보이고 느낄 수 있는 영화 이 영화를 단순 국뽕영화라고 취급하는 사람들은 도대체 전투신만해도 한국영화사에 남을 만한 완성도 높은데도	1
명량	어벤져스한테 따라잡힐 준비해라	0
명량	냉정하게 불멸의이순신이 더 재미있었다	1
명량	극장에서 번 봤다 성웅 이순신 장군님은 언제나 나의 영웅이시며 영원히 존경받아야 마땅하다	1
명량	재미있긴한데 조금 억지스럽지 않나 싶네요 당시 조총 살상거리   최대 사거리가 도 안되었는데 흔들리는 배안에서 저격하는거와 수차례 백병전을 했음에도 배안의 병사들이 대부분 말짱한것등 감동과 재미를 위해서 무리수를 둔것 아닌가 싶습니다	0
명량	이 영화에서 말이 되는 것은 딱 하나 이순신의 존재 이것 뿐이다 만일 주인공이 역사적 인물이 아닌 가상의 인물이었다면 영화 시작부터 끝까지 모든 것이 말이 되는 부분이 단 하나도 없다 결국 감독은 이순신 뒤에 숨어서 표 팔아먹겠다고 든 것이다	0
명량	재미있었으며 잘 보았습니다	1
명량	만족  담에 또	1
명량	해전을 잘 표현한거 같네요	1
명량	신에게는 아직 척의 배가 남아있습니다	1
명량	아주 오랜만에 극장에서 본 한국영화 온 가족이 함께 의미깊게 봤음	1
명량	왜재밋다는지 모르겠음긴러닝타임에 시종일관 지루함	1
명량	어째서 어디서 그런 애국심이 나왔을까	1
명량	너무 기대하고 봤더니 별로였던 영화	1
명량	굳굳굳굳궂궂궂궂굿굿	1
명량	최고의 음악영화 보는동안 너무 즐거웠습니다	1
명량	최고의영화 굳굳굳굿굿	1
명량	기대하고 봤는데 솔직히 재미에 중점을 두고 보면 재미는 없었다 내용은 좋은 내용이었기 때문에 내용적인 면에서 더 의미를 둘 수 있는 영화라고 생각됨	1
명량	굿잘봣습니당좋아요 하핫하	1
명량	꼭 봐야하는 영화 입니다 	1
명량	두번 봐도 감동은 그대로	1
명량	정말 재미있어요 감동적입니다	1
명량	이순신 장군의 업적을 현실적으로 잘 그려내었음	1
명량	아교마시다레소라피치마	1
명량	이순신을 기념하며 좋은 영화가 더 나오길	0
명량	역사적 사실을 바탕으로 정말 재미있게 본 영화	1
명량	그냥저냥나쁘지않게봣던영화	1
명량	지켜주셔서 감사합니다	1
명량	짱 감동적이였습니다	1
명량	아 이거 언제적에 본건데 자꾸 네이버 평점 남기라고 알람뜸	1
명량	웅장함과 긴장감 감동이 적절히 섞여있는 영화	1
명량	오래됫지만 잘봣어요ㅎㅎ	1
명량	최고입니다 재밌게봤어요	1
명량	재미있어요 극장가서 꼭 보세요	1
명량	아는 내용이지만 잼있었음	1
명량	수작입니다 재밌게봤습니다	1
명량	굿굿정말 재미있네요 ㅎㅎㅎㅎ	1
명량	완전 잼남 가슴뭉클하고 진한 감동이 밀려옴꼭 추천합니다	1
명량	역시 이순신장군님 다시봐도 멋져요	1
명량	ㅎㅎ완전멋짐니다요오오	1
명량	재밌어요 가족들이랑 보기 좋은 영화인것같아요 가대이상이였습니다	1
명량	최고의 명작 두말하면 잔소리	1
명량	감동적인 영화였습니다	1
명량	감동적이고 중간 중간 울컥 ㅠㅠ	1
명량	한국인이라면 꼭 봐야할 명작 중에 하나	1
명량	내게서 최고로재밋을그런영화	1
명량	완전 재밌게 잘봤습니다 대한민국 국민으로써 꼭 봐야하는 영화라고 생각합니다 배우로써 최민식은 진짜 연기를너무잘하는거같아요 최고에요 짱짱	1
명량	감독의스케일이장난이아니다	0
명량	애국심을 자극하는 멋진 영화였습니다	1
명량	잼났어요 부모님도보여드렸어요	1
명량	가족과 보기 좋은 영화인것 같습니다	1
명량	대동여지도 그 속에 희노애락이 느껴졌다	1
명량	명량 재밌어요 다시한번 위인을 생각하게 만드는 ㅜㅜ	1
명량	영화 자체는 그저 그랬음	1
명량	재미있게잘본것같네요	1
명량	짱 재밌어요굿 또 보고싶네요	1
명량	명량은 정말 재밌었어요 배우들의 연기도 좋았어요	1
명량	역시이순신장군지금시대에 다시한번 나와주었으면	1
명량	조선의역사 힘이 약해 외세의 침략을 당하고 약해빠진 조정은 당리 당략에 당쟁만 일삼는 현재의 정국과 다를것이 없다	1
명량	정말정말종멀재밋읍니다	1
명량	지금까지도 이 영화만큼 재밌는 영화를 본 기억이없네요 영화관인데도 사람들 다같이 웃으면서 봤습니다	1
명량	그분은 진정 영웅이었다부가 기다려진다	1
명량	숨막히는공포에요오오	1
명량	굿굿굿너무멋진영화다속이시원하구만	1
명량	영화가 정말로 재밌었음	1
명량	이순신 신이다 그는  극장추천요	1
명량	짱짱잼써여 ㅎㅎ	1
명량	이순신장군님도 대단하고그와 함께한 모든 사람들도 대단합니다	1
명량	재미있엇어옹 너무너무나	1
명량	진짜 최고의 영화입니다추천	1
명량	재미있습니다추천합니다	1
명량	재미에 감동까지남자보다는 여자가 좋아할만한 내용인듯합니다저는 재밌게 봤습니다추천	1
명량	재미있게 잘 보았습니다	1
명량	명량은 되게되게 기억에 남는 영화가됬어요	1
명량	너무 좋았어요ㅎㅎ	1
명량	멋진영화그러나재미는별로	1
명량	군도보다 훨씬 재 밌습니다 꼭 보세요	1
명량	잘봤어요 이순신 이순신 이순신	1
명량	머찌네요 영화잘봤습니다	1
명량	좋앟슷니다오 좃앟앗니다요요	1
명량	우리나라 영화 정말 굿입니다	1
명량	이순시 그이름 석자엄청나다	1
명량	잘봤습니다 이정현씨로 별하나추가요	1
명량	신린ㅇ이랑 재밌게 잘봤어요	1
명량	다시 보고싶은 영화입니다	1
명량	멋진 영화였습니다 배우도 내용도 화면도 다 멋졌습니다	1
명량	명량 재밌게 봤습니다 돈 아깝지않은 영화	1
명량	우아아아ㅏㄴ재밋어오유큐쿸	1
명량	너무 연기력도 좋고 역사에 대해 다시한번 생각해볼수있었어요	1
명량	재밌습니당	1
명량	꿀잼꿀잼랄ㄹ랄랄랄룰룰	0
명량	정말 정말 정말 재미재미 잇습니당	1
명량	역사영화가 좋습니다 그래서 재밌었습니다	1
명량	재미재미재미재미재미재미재미재미잼	1
명량	군함도 기억해야하는 꼭 스토리 ㅠㅠㅠㅠ 영화열심히 찍으세요 꼭 봅니당	1
명량	잼있게 잘 봤습니다	1
명량	좋앗습니다 멋잇습니다	1
명량	뭐지이건 굿인가	1
명량	재밌어요 최민식의 연기력이 역시 일품	1
명량	재미있고 진짜 연기력 감탄사나와욘	1
명량	알고봐도 위대한 이순신 장군님	1
명량	재밋게봣어요ㅋㅋㅋ굿굿	1
명량	너무 재미나게 잘 봤어요또 보고싶어지네요	1
