,movieName,comments,ratings,PN
0,극한직업,가볍게 생각 없이 즐길수 있는 영화 잘봤습니다,10,1
1,극한직업,,10,1
2,극한직업,재밌게본 한국영화 였습니다,10,1
3,극한직업,웃고 싶을때마다 보는데 매번 웃기는 최애 영화,10,1
4,극한직업,어느정도 예상 가능하다 싶지만 그래도 재밌습니다 ㅎ 시간이 어느정도 흐른 지금 여전히 유투브로 하이라이트만 보거나 해요,8,1
5,극한직업,영화 재밌게 잘 봤습니다감사합니다,10,1
6,극한직업,다섯번은넘게본듯배우들너무찰지게웃겨요,10,1
7,극한직업,여기다 평점 낮게준 사람들 대부분 조선족임,8,1
8,극한직업,매우 재미있게 봤읍니다,10,1
9,극한직업,정말 재밌게 봤습니다 한번 더 보고싶네요,10,1
10,극한직업,시나리오 진짜 기막히게 써서 재밌게 나왔으면좋겠다 다시봐도 재밌어ㅋㅋㅋ,10,1
11,극한직업,즐겁고 유쾌하게 초등 남자아이들하고 봤습니다아이들도 좋아하네요,10,1
12,극한직업,관람객을 시간동안 웃게해주는 영화 더이상 뭐가필요하죠,10,1
13,극한직업,개꿀잼이에요 ㅋㅋ 요즘에 본 영화중 제일 재밋었어요,10,1
14,극한직업,이하늬 이쁘다 재밌다 어음재밋졍,10,1
15,극한직업,모처럼 웃었다재미가 짱,10,1
16,극한직업,극한 직업 이네요  모든 노동자들 화이팅,10,1
17,극한직업,진짜 제일 재밌어요 짱짱 계속 다시 보고싶을 정도,10,1
18,극한직업,진짜 재밌었어요 웃기기도 하고 못생겼다고 한놈만 팬닼ㅋㅋㅋ,10,1
19,극한직업,재미있게 잘 봤습니다다다,8,1
20,극한직업,셋이서 재밋게 잘봤네요 ㅎㅎ,8,1
21,극한직업,핵잼이었습니다진짜 또봐도 되는 영화,10,1
22,극한직업,재미있고 유쾌했슴다,8,1
23,극한직업,지금까지이런영화는없었다,10,1
24,극한직업,넘 재미 잏게 잘 봤어요 수고햇어요,10,1
25,극한직업,이것은 영화인가 통닭인가,9,1
26,극한직업,오랜만에 정말 웃으면서 봤던 영화입니다,10,1
27,극한직업,재밌었어요 엄청 웃고옴 ㅋ,10,1
28,극한직업,신선한재미좋아써염,10,1
29,극한직업,재밌다 끝 그럼에도 재밌음,9,1
30,극한직업,완전 좋아요,10,1
31,극한직업,번이나 더 본영화언제나 재밌어요,8,1
32,극한직업,두번봤는데도 재밌었어요 ㅋㅋㅋㅋ,10,1
33,극한직업,말해 무엇 번이나 봤어여,10,1
34,극한직업,코믹한 부분이 가장 인상적이었어요비슷한 소재를 무겁고 누아르같은장르로 풀어낸 영화가 많았던것같은데코믹액션과 웃음을 더한 장르로 풀어주니까거북하거나 일그러지지않고 보는내내 웃으면서봤어요,8,1
35,극한직업,꿀좸쓰가족들이랑 봤었는데 꿀좸쓰,10,1
36,극한직업,재밌게 잘봤어요 진짜,10,1
37,극한직업,잼미있고 신성하네여 아주 좋습니다,10,1
38,극한직업,너무 재밌었어요 다시 보고싶은 영화였고 보는내내 웃 음만 나왔어요,10,1
39,극한직업,굿 너무 재미있어서 웃다가 나왔어요,10,1
40,극한직업,굿 대단히재미있게본영화임,10,1
41,극한직업,재밌습니다 ,9,1
42,극한직업,재미있고추천하고 지루하지않네요,10,1
43,극한직업,쪼꼬만쑤ㅖ꿰들아 뭘 깨래보내,10,1
44,극한직업,잼난영화이네용 또봥야지,10,1
45,극한직업,너무너무 재미있었어요즐거운시간보냈습니다,10,1
46,극한직업,완전대박 겁나즐거웠어요,10,1
47,극한직업,웃겨요 재미있게 봤어요,10,1
48,극한직업,영화가 쓸데없이 욕이 너무 많이 나와서 좀 불편했습니다,6,1
49,극한직업,최고최고최고최고최고,10,1
50,극한직업,류승룡의 코믹 연기는 너무 과장된 듯 해요 그 외는 모두 좋았어요,9,1
51,극한직업,출연진의 연기력도 좋았고생각보다 웃고 즐기기 좋았어요,8,1
52,극한직업,말이필요없는 잼난영화,10,1
53,극한직업,굿 꿀 잼 ㅋㅋㅋ 어케 이렇게웃긴지 ㅋ오랜만에 빵터졌네요,10,1
54,극한직업,너무 재미있게 봤어요,10,1
55,극한직업,웃다가웃다가 한참웃었습니다ㅠㅠ 너무재밌어서 여전히 또보고그럽니다,10,1
56,극한직업,웃기면서 감동도 있고 액션도 있어서 재미있게 잘 보아,10,1
57,극한직업,배우들 믿고 봤어용 유치할수도있지만 넘 잼넘,10,1
58,극한직업,인생 최고의 코미디 영화,10,1
59,극한직업,유쾌하게 웃고 나온 영화입니다ㅡ마지막 싸움씬이 좀 길엇지만 만족합니다,10,1
60,극한직업,스토리 짜임이 약하고 좀 지루한편이다사실을 바탕으로 좀 각색이별로,6,1
61,극한직업,그냥 웃으며 편하게 아무 생각없이 몰입가능 재밌어요,10,1
62,극한직업,너무 너무 재미있게 잘 봤네요 대박작품,10,1
63,극한직업,대체적으로 좋았으나 살인 동기에 대한 비약이 있어 보여 공감하기 어려운 부분이 약간 있음,8,1
64,극한직업,동석이형 너무 좋아해요 동석이형 영화는 다보네요,10,1
65,극한직업,부모님 보여드렸는데 재밌게 보셨다고 하셨어요,10,1
66,극한직업,엄청 재밌지는 않지만 소소하게 웃을수 있었던 영화 어머니와 보기에도 딱 좋았음,8,1
67,극한직업,정말 정말 한바탕 웃고 옵니다 재밌어요,10,1
68,극한직업,두번봤습니다 또보고싶네요,10,1
69,극한직업,핵핵 진짜 재밌어요 진선규 짱짱,10,1
70,극한직업,아주 재밌었어요추천추천,10,1
71,극한직업,간만에 실컷 웃었어요 기대한것보다 재미있었네요,10,1
72,극한직업,말할필요가없다무조건봐라,10,1
73,극한직업,호탕하게 오랜만에 웃었어요,10,1
74,극한직업,재미있게봤습니다 기대 이상,10,1
75,극한직업,수원왕갈비통닭 먹어보고 싶어요ㅋㅋ,9,1
76,극한직업,너무 재밌었어요 많이 웃고 즐거웠습니다,10,1
77,극한직업,진짜 웃기만 하다가 나온 영화,10,1
78,극한직업,봐줄건 얼굴밖에 없는데 빵터짐,10,1
79,극한직업,너무 재미있게 잘 봤습니낭,10,1
80,극한직업,임신중에봤는데ㅎ스트레스쫙풀고왔어요,10,1
81,극한직업,너무너무 재미있었습니다 ㅎㅎ,10,1
82,극한직업,존잼존잼존잼존잼존잼,10,1
83,극한직업,배꼽빠지게 재밌게 보고 왔어요 기회되면 볼 수 있기를,10,1
84,극한직업,아무생각없이 보기에 좋은 것,8,1
85,극한직업,수준이 낮아서 재미없어ㅠㅠ,4,0
86,극한직업,이런 코미디는 그동안 없었다,10,1
87,극한직업,지니밌어오붓굯굿 많이들보네요,8,1
88,극한직업,여지껏 없던 유쾌한 코믹 이야기,8,1
89,극한직업,재미있게 보았습니다 감사합니다,8,1
90,극한직업,진선규 때문에 점 줬어요,7,1
91,극한직업,정말 재밌게 봤던 영화에요,10,1
92,극한직업,보는 내내 즐거운 영화 오락의 본질 중 하나,8,1
93,극한직업,꿀잼 보장영화ㅋㅋㅋㅋ,10,1
94,극한직업,실컷 웃다 왔어요 가족이랑 보기 좋아요,9,1
95,극한직업,대대ㅐ대대ㅋ대대ㅋ대대박,10,1
96,극한직업,존잼 진짜 ㅋㅋㅋㅋ,10,1
97,극한직업,이게 도대체 왜 솔직히 천만감은 아니다,6,1
98,극한직업,계속 웃었어요ㅋㅋ넘재밌어요,10,1
99,극한직업,두말하면잔소리 너무너무 잘 보고왔어요,10,1
100,극한직업,웃다가 울다 한 영화라고 생각이 듬,10,1
101,극한직업,코미디같지만 영화적인 요소를 놓지지 않은준족이죠,10,1
102,극한직업,웃다보니 끝이 났네요 정말 재미있어요,9,1
