,movieName,comments,ratings,PN
0,명량,그냥 뭐 애국심으로 보는 재미인듯,8,1
1,명량,영상과 연출력은 대단하다,8,1
2,명량,와 이런 영화를 보고도 엄청 재밌다고 하다니 보는 내내 어처구니가 없었구먼 진짜 한국관객들 영화 수준 좀 높여야 되는거 아니냐 인간적으로,1,0
3,명량,아는 만큼 보이고 느낄 수 있는 영화 이 영화를 단순 국뽕영화라고 취급하는 사람들은 도대체 전투신만해도 한국영화사에 남을 만한 완성도 높은데도,10,1
4,명량,어벤져스한테 따라잡힐 준비해라,1,0
5,명량,냉정하게 불멸의이순신이 더 재미있었다,6,1
6,명량,극장에서 번 봤다 성웅 이순신 장군님은 언제나 나의 영웅이시며 영원히 존경받아야 마땅하다,10,1
7,명량,재미있긴한데 조금 억지스럽지 않나 싶네요 당시 조총 살상거리   최대 사거리가 도 안되었는데 흔들리는 배안에서 저격하는거와 수차례 백병전을 했음에도 배안의 병사들이 대부분 말짱한것등 감동과 재미를 위해서 무리수를 둔것 아닌가 싶습니다,4,0
8,명량,이 영화에서 말이 되는 것은 딱 하나 이순신의 존재 이것 뿐이다 만일 주인공이 역사적 인물이 아닌 가상의 인물이었다면 영화 시작부터 끝까지 모든 것이 말이 되는 부분이 단 하나도 없다 결국 감독은 이순신 뒤에 숨어서 표 팔아먹겠다고 든 것이다,4,0
9,명량,재미있었으며 잘 보았습니다,8,1
10,명량,만족  담에 또,9,1
11,명량,해전을 잘 표현한거 같네요,9,1
12,명량,신에게는 아직 척의 배가 남아있습니다,10,1
13,명량,아주 오랜만에 극장에서 본 한국영화 온 가족이 함께 의미깊게 봤음,10,1
14,명량,왜재밋다는지 모르겠음긴러닝타임에 시종일관 지루함,6,1
15,명량,어째서 어디서 그런 애국심이 나왔을까,8,1
16,명량,너무 기대하고 봤더니 별로였던 영화,7,1
17,명량,굳굳굳굳궂궂궂궂굿굿,10,1
18,명량,최고의 음악영화 보는동안 너무 즐거웠습니다,10,1
19,명량,최고의영화 굳굳굳굿굿,10,1
20,명량,기대하고 봤는데 솔직히 재미에 중점을 두고 보면 재미는 없었다 내용은 좋은 내용이었기 때문에 내용적인 면에서 더 의미를 둘 수 있는 영화라고 생각됨,8,1
21,명량,굿잘봣습니당좋아요 하핫하,10,1
22,명량,꼭 봐야하는 영화 입니다 ,10,1
23,명량,두번 봐도 감동은 그대로,8,1
24,명량,정말 재미있어요 감동적입니다,8,1
25,명량,이순신 장군의 업적을 현실적으로 잘 그려내었음,8,1
